Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_240_150_1,Paradox Development Studio,Paradox Development Studio,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Life Sim,4X,Character Customization,Sandbox,Choices Matter,Singleplayer,War,Economy,Moddable,Political,Real-Time with Pause,Multiplayer","linux, mac, win",,"1 Sep, 2020",502₴,9,92%,58624
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,Valve,Valve,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,RPG,Fantasy,Character Customization,Replay Value,Action RPG,Simulation","linux, mac, win",,"9 Jul, 2013",1 392₴,9,82%,1978140
Total War: WARHAMMER III,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive","CREATIVE ASSEMBLY, Feral Interactive","Early Access,Strategy,Turn-Based Strategy,Grand Strategy,RTS,Fantasy,Real Time Tactics,Dark Fantasy,War,Action,Tactical,Atmospheric,Colorful,Multiplayer,Games Workshop,PvP,Co-op,Story Rich,Singleplayer,Online Co-Op","linux, mac, win",Colorful,"16 Feb, 2022",1 299₴,7,73%,50069
Age of Empires II: Definitive Edition,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_240_150_1,"Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge","Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge","Strategy,RTS,City Builder,Multiplayer,Base Building,Historical,Medieval,Singleplayer,Resource Management,Classic,Tactical,Real-Time,Co-op,Remake,Isometric,Replay Value,2D,Action,Adventure,Great Soundtrack",win,"Isometric,2D","14 Nov, 2019",648₴,9,94%,108540
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,Paradox Development Studio,Paradox Development Studio,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action","linux, mac, win",,"6 Jun, 2016",2 569₴,9,92%,164202
Northgard,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_240_150_1,Shiro Games,Shiro Games,"Strategy,City Builder,Simulation,RTS,Base Building,Building,Colony Sim,4X,Tactical,Economy,Management,War,Moddable,PvP,PvE,Singleplayer,Multiplayer,Co-op,Vikings,Resource Management","music, linux, mac, win",,"7 Mar, 2018",113₴,9,88%,41960
Silica,https://store.steampowered.com/app/1494420/Silica/?snr=1_7_7_240_150_1,Bohemia Incubator,Bohemia Incubator,"Strategy,RTS,Sci-fi,Early Access,Singleplayer,Multiplayer,Aliens,Shooter,PvP,Indie,Action,First-Person,FPS,Co-op,PvE,3D,Futuristic,Online Co-Op,Arena Shooter,Top-Down",win,"First-Person,3D,Top-Down","3 May, 2023",415₴,7,77%,944
Age of Empires IV: Anniversary Edition,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_240_150_1,"Relic Entertainment, World's Edge","Relic Entertainment, World's Edge","Strategy,RTS,Multiplayer,War,Medieval,Singleplayer,Base Building,Resource Management,Historical,City Builder,Action RTS,PvP,PvE,3D,Co-op,Isometric,Open World,Management,Online Co-Op,Mature",win,"3D,Isometric","28 Oct, 2021",2 670₴,9,86%,37567
IXION,https://store.steampowered.com/app/1113120/IXION/?snr=1_7_7_240_150_1,Bulwark Studios,Bulwark Studios,"City Builder,Space,Strategy,Survival,Resource Management,Colony Sim,Building,Simulation,Base Building,Exploration,Choices Matter,Atmospheric,Economy,Dark,Singleplayer,Management,RTS,Difficult,Post-apocalyptic,Indie","music, win",,"7 Dec, 2022",490₴,7,72%,8865
Total War: WARHAMMER II,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","Strategy,Fantasy,Turn-Based Strategy,RTS,Grand Strategy,War,Multiplayer,Games Workshop,Action,Turn-Based,Singleplayer,Dark Fantasy,Co-op,Tactical,Real Time Tactics,Story Rich,Atmospheric,Dinosaurs,Great Soundtrack,Warhammer 40K","linux, mac, win",,"28 Sep, 2017",949₴,9,93%,80790
Anno 1800,https://store.steampowered.com/app/916440/Anno_1800/?snr=1_7_7_240_150_1,Ubisoft Mainz,Ubisoft Mainz,"City Builder,Strategy,Simulation,Economy,Multiplayer,Resource Management,Sandbox,Exploration,RTS,Singleplayer,Political,Choose Your Own Adventure,Story Rich,Politics,Choices Matter,Historical,Management,Multiple Endings,Co-op,Building",win,,Apr 2019,2 121₴,9,81%,7740
Company of Heroes 3,https://store.steampowered.com/app/1677280/Company_of_Heroes_3/?snr=1_7_7_240_150_1,Relic Entertainment,Relic Entertainment,"Strategy,Wargame,Action RTS,RTS,Real Time Tactics,Turn-Based Tactics,PvP,World War II,Historical,Turn-Based Strategy,Top-Down,Action,Military,Choices Matter,Tactical,Turn-Based Combat,War,Singleplayer,Multiplayer,Cinematic",win,"Top-Down,Cinematic","23 Feb, 2023",1 399₴,6,55%,9879
Total War: WARHAMMER,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","Strategy,Fantasy,RTS,War,Turn-Based Strategy,Games Workshop,Grand Strategy,Multiplayer,Tactical,Dark Fantasy,Action,Singleplayer,Turn-Based,Atmospheric,Co-op,Story Rich,Open World,RPG,Gore,Warhammer 40K","linux, mac, win",,"24 May, 2016",949₴,7,79%,30332
Age of Empires III: Definitive Edition,https://store.steampowered.com/app/933110/Age_of_Empires_III_Definitive_Edition/?snr=1_7_7_240_150_1,"Tantalus Media, Forgotten Empires","Tantalus Media, Forgotten Empires","Strategy,RTS,Base Building,Multiplayer,Military,Historical,City Builder,War,Singleplayer,Resource Management,PvP,3D,Combat,Story Rich,Level Editor,Moddable,Online Co-Op,Co-op,Medieval,Classic","music, win",3D,"15 Oct, 2020",2 670₴,9,82%,28870
The Great War: Western Front™,https://store.steampowered.com/app/2109370/The_Great_War_Western_Front/?snr=1_7_7_240_150_1,Petroglyph,Petroglyph,"Strategy,RTS,World War I,Turn-Based Strategy,Grand Strategy,Real Time Tactics,Historical,Military,Wargame,Tactical,Singleplayer,War,Multiplayer,PvP,PvE,Tanks",win,,"30 Mar, 2023",700₴,7,73%,1116
Minecraft Legends,https://store.steampowered.com/app/1928870/Minecraft_Legends/?snr=1_7_7_240_150_1,"Mojang Studios, Blackbird Interactive","Mojang Studios, Blackbird Interactive","Strategy,Action,Multiplayer,Fantasy,Family Friendly,Tactical,Co-op,Singleplayer,PvP,Combat,Online Co-Op,Adventure,Controller,Open World,Character Customization,Co-op Campaign,RTS,Tutorial,Sexual Content,Isometric",win,Isometric,"18 Apr, 2023",740₴,6,62%,1724
Farthest Frontier,https://store.steampowered.com/app/1044720/Farthest_Frontier/?snr=1_7_7_240_150_1,Crate Entertainment,Crate Entertainment,"Early Access,City Builder,Survival,Colony Sim,Strategy,Building,Military,Simulation,Singleplayer,Sandbox,Resource Management,Management,RTS,Realistic,Old School,Open World Survival Craft,Immersive Sim,3D,Alternate History,4X",win,"Realistic,3D","9 Aug, 2022",1 313₴,9,85%,11839
Against the Storm,https://store.steampowered.com/app/1336490/Against_the_Storm/?snr=1_7_7_240_150_1,Eremite Games,Eremite Games,"Strategy,Simulation,City Builder,Base Building,Colony Sim,Building,Resource Management,Management,Survival,Economy,RTS,Roguelite,Sandbox,Open World,Singleplayer,Moddable,Crafting,Medieval,Exploration,Early Access",win,,"1 Nov, 2022",1 440₴,10,95%,10247
Total War: THREE KINGDOMS,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Military,Multiplayer,Tactical,Singleplayer,Real Time Tactics,Action,Turn-Based,Great Soundtrack,Co-op,Simulation,Sandbox,Violent,Fantasy,Destruction","music, linux, mac, win",,"23 May, 2019",1 370₴,9,82%,53489
Total Conflict: Resistance,https://store.steampowered.com/app/1860510/Total_Conflict_Resistance/?snr=1_7_7_240_150_1,Thunder Devs.,Thunder Devs.,"Early Access,FPS,Tactical,Wargame,Grand Strategy,RTS,Real Time Tactics,Immersive Sim,Cinematic,Combat,Realistic,Military,Management,War,Atmospheric,Political Sim,Resource Management,Choices Matter,Economy,Strategy",win,"Cinematic,Realistic","21 Apr, 2023",600₴,9,82%,614
Conqueror's Blade,https://store.steampowered.com/app/905370/Conquerors_Blade/?snr=1_7_7_240_150_1,Booming Tech,Booming Tech,"Medieval,Tactical,Strategy,Action,Free to Play,Multiplayer,Massively Multiplayer,War,Singleplayer,Grand Strategy,Strategy RPG,Online Co-Op,Swordplay,Character Customization,PvP,Wargame,RTS,Action RTS,Tactical RPG,Real Time Tactics",win,,"30 May, 2019",1 015₴,7,75%,27271
Frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_240_150_1,11 bit studios,11 bit studios,"City Builder,Survival,Resource Management,Strategy,Post-apocalyptic,Steampunk,Colony Sim,Building,Base Building,Simulation,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,Difficult,RTS,Real-Time with Pause,Great Soundtrack","music, mac, win",,"24 Apr, 2018",538₴,9,91%,74995
Total War™: ROME II - Emperor Edition,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_240_150_1,CREATIVE ASSEMBLY,CREATIVE ASSEMBLY,"Strategy,Historical,Turn-Based Strategy,Grand Strategy,Rome,Tactical,Multiplayer,War,Real Time Tactics,RTS,Turn-Based,Singleplayer,Online Co-Op,Turn-Based Tactics,Simulation,Co-op,Moddable,Action,Atmospheric,Education",win,,"2 Sep, 2013",949₴,9,85%,43131
Kenshi,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_240_150_1,Lo-Fi Games,Lo-Fi Games,"Open World,Sandbox,RPG,Survival,Strategy,Building,Post-apocalyptic,Base Building,Singleplayer,Crafting,City Builder,Indie,Simulation,Adventure,Management,RTS,Ninja,Character Customization,Alternate History,Steampunk",win,,"6 Dec, 2018",379₴,10,95%,57958
Game of Thrones Winter is Coming,https://store.steampowered.com/app/1105420/Game_of_Thrones_Winter_is_Coming/?snr=1_7_7_240_150_1,YOUZU (SINGAPORE) PTE. LTD.,YOUZU (SINGAPORE) PTE. LTD.,"Free to Play,RPG,Strategy,Massively Multiplayer,Simulation,Fantasy,Open World,City Builder,RTS,Strategy RPG,Wargame,Real Time Tactics,Grand Strategy,Medieval,Tactical RPG,2.5D,3D Platformer,Dragons,Third Person,Diplomacy",win,"2.5D,Third Person","14 Nov, 2019",Free To Play,6,59%,2032
SpellForce 3 Reforced,https://store.steampowered.com/app/311290/SpellForce_3_Reforced/?snr=1_7_7_240_150_1,Grimlore Games,Grimlore Games,"RPG,Strategy,RTS,Fantasy,Singleplayer,Multiplayer,Open World,Co-op,Atmospheric,Great Soundtrack,Character Customization,Adventure,Isometric,Story Rich,Building,Nudity,CRPG,Action,Base Building,Magic","music, win",Isometric,"7 Dec, 2017",151₴,7,75%,4883
Call to Arms - Gates of Hell: Ostfront,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/?snr=1_7_7_240_150_1,"Barbedwire Studios, Digitalmindsoft","Barbedwire Studios, Digitalmindsoft","World War II,Strategy,Real Time Tactics,Historical,RTS,War,Realistic,Singleplayer,Level Editor,PvE,PvP,Multiplayer,Co-op,Military,Top-Down,Online Co-Op,Wargame,Action,Tanks,Difficult",win,"Realistic,Top-Down","11 Jun, 2021",592₴,9,81%,8288
