Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Dyson Sphere Program,https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/?snr=1_7_7_240_150_1,Youthcat Studio,Youthcat Studio,"Space,Automation,Base Building,Building,Open World,Resource Management,Simulation,Sci-fi,Management,Sandbox,City Builder,Strategy,Singleplayer,Space Sim,3D,Third Person,Early Access,Indie,RTS,Casual",win,"3D,Third Person","20 Jan, 2021",624₴,10,0.97,63698
STAR WARS™ Empire at War - Gold Pack,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/?snr=1_7_7_240_150_1,Petroglyph,Petroglyph,"Strategy,RTS,Space,Sci-fi,Multiplayer,Singleplayer,Moddable,Mod,Tactical,War,Action,Classic,Great Soundtrack,Grand Strategy,Simulation,Co-op,4X,Adventure,Atmospheric,Epic",win,,"16 Feb, 2006",3 615₴,10,0.97,26723
Stronghold Crusader HD,https://store.steampowered.com/app/40970/Stronghold_Crusader_HD/?snr=1_7_7_240_150_1,FireFly Studios,FireFly Studios,"Real Time Tactics,City Builder,Colony Sim,Building,Medieval,Base Building,Sandbox,War,Management,Economy,Military,RTS,Real-Time,Strategy,Isometric,Open World,Resource Management,Historical,2D,Simulation",win,"Isometric,2D","31 Jul, 2002",169₴,10,0.97,12775
Rusted Warfare - RTS,https://store.steampowered.com/app/647960/Rusted_Warfare__RTS/?snr=1_7_7_240_150_2,Corroding Games,Corroding Games,"RTS,Strategy,Base Building,Multiplayer,Moddable,Indie,2D,Singleplayer,Real-Time,Sandbox,Pixel Graphics,Co-op,Real-Time with Pause,Robots,Retro,Mechs,Action,War,Tower Defense,Mod","linux, mac, win","2D,Pixel Graphics","14 Jul, 2017",99₴,10,0.97,3185
Shadow Tactics: Blades of the Shogun,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_240_150_2,Mimimi Games,Mimimi Games,"Stealth,Strategy,Tactical,Ninja,Real Time Tactics,Singleplayer,Indie,Isometric,Historical,Assassin,Action,RTS,Difficult,Violent,Atmospheric,Third Person,Adventure,Survival,Great Soundtrack,Puzzle","music, linux, mac, win","Isometric,Third Person","6 Dec, 2016",1 084₴,10,0.96,26989
Mindustry,https://store.steampowered.com/app/1127400/Mindustry/?snr=1_7_7_240_150_1,AnukenDev,AnukenDev,"Base Building,Resource Management,Tower Defense,Strategy,Automation,Multiplayer,Sandbox,Building,Co-op,2D,Pixel Graphics,Online Co-Op,RTS,Singleplayer,Indie,PvP,PvE,Survival,Management,Action","linux, mac, win","2D,Pixel Graphics","26 Sep, 2019",169₴,10,0.96,12702
Supreme Commander: Forged Alliance,https://store.steampowered.com/app/9420/Supreme_Commander_Forged_Alliance/?snr=1_7_7_240_150_2,Gas Powered Games,Gas Powered Games,"Strategy,RTS,Sci-fi,Multiplayer,Singleplayer,Grand Strategy,Base Building,Co-op,Moddable,Real-Time with Pause,Robots,Competitive,Real-Time,Action,Online Co-Op,Classic,Great Soundtrack,Space,War,Adventure",win,,"28 Sep, 2011",507₴,10,0.96,7829
Desperados III,https://store.steampowered.com/app/610370/Desperados_III/?snr=1_7_7_240_150_2,Mimimi Games,Mimimi Games,"Strategy,Real Time Tactics,Stealth,Western,Tactical,Isometric,Singleplayer,Assassin,Difficult,Action,Third Person,Atmospheric,Historical,Violent,Indie,Adventure,Survival,Great Soundtrack,RTS,Top-Down","music, linux, mac, win","Isometric,Third Person,Top-Down","16 Jun, 2020",884₴,10,0.96,7804
Kingdom Rush Frontiers - Tower Defense,https://store.steampowered.com/app/458710/Kingdom_Rush_Frontiers__Tower_Defense/?snr=1_7_7_240_150_2,Ironhide Game Studio,Ironhide Game Studio,"Tower Defense,Strategy,2D,Singleplayer,Difficult,Choices Matter,Funny,Fantasy,Casual,Magic,Adventure,Building,Cartoon,Indie,Touch-Friendly,Action,Colorful,Pixel Graphics,RTS,Great Soundtrack","linux, mac, win","2D,Cartoon,Colorful,Pixel Graphics","25 Jul, 2016",1 173₴,10,0.96,6544
Door Kickers 2: Task Force North,https://store.steampowered.com/app/1239080/Door_Kickers_2_Task_Force_North/?snr=1_7_7_240_150_1,KillHouse Games,KillHouse Games,"Strategy,Tactical,Simulation,Action,Indie,Real Time Tactics,Top-Down,Military,Co-op,Real-Time with Pause,Level Editor,Early Access,Top-Down Shooter,Violent,Multiplayer,Gore,RTS,Singleplayer,Moddable,War",win,Top-Down,"3 Nov, 2020",1 115₴,10,0.96,5971
